Index,Wastewater Treatment Plant,County,Date,Population Served,Viral Gene Copies Per Person,Viral Gene Copies/L
1,Albemarle (CDC Contract),Stanly,7/31/2023,20000,164211596,370771
2,Albemarle (CDC Contract),Stanly,7/26/2023,20000,82636850,164138
3,Albemarle (CDC Contract),Stanly,7/24/2023,20000,320657215,407357
4,Albemarle (CDC Contract),Stanly,7/19/2023,20000,87995370,158136
5,Albemarle (CDC Contract),Stanly,7/17/2023,20000,78114076,139903
6,Albemarle (CDC Contract),Stanly,7/12/2023,20000,201051628,300070
7,Albemarle (CDC Contract),Stanly,7/10/2023,20000,189682672,228287
8,Albemarle (CDC Contract),Stanly,7/5/2023,20000,175302557,308735
9,Albemarle (CDC Contract),Stanly,7/3/2023,20000,101297370,129275
10,Albemarle (CDC Contract),Stanly,6/28/2023,20000,26928439,30796
11,Albemarle (CDC Contract),Stanly,6/26/2023,20000,253319357,265556
12,Albemarle (CDC Contract),Stanly,6/21/2023,20000,10282161,0
13,Albemarle (CDC Contract),Stanly,6/19/2023,20000,17380172,44361
14,Albemarle (CDC Contract),Stanly,6/14/2023,20000,51286650,103424
15,Albemarle (CDC Contract),Stanly,6/12/2023,20000,19896169,42048
16,Albemarle (CDC Contract),Stanly,6/7/2023,20000,39995998,50810
17,Albemarle (CDC Contract),Stanly,6/5/2023,20000,8734009,18912
18,Albemarle (CDC Contract),Stanly,5/31/2023,20000,125726928,187119
19,Albemarle (CDC Contract),Stanly,5/30/2023,20000,118612722,159462
20,Albemarle (CDC Contract),Stanly,5/24/2023,20000,149517996,298103
21,Albemarle (CDC Contract),Stanly,5/22/2023,20000,173971834,360460
22,Albemarle (CDC Contract),Stanly,5/17/2023,20000,331783021,565471
23,Albemarle (CDC Contract),Stanly,5/15/2023,20000,316267627,568363
24,Albemarle (CDC Contract),Stanly,5/10/2023,20000,207850505,300868
25,Albemarle (CDC Contract),Stanly,5/8/2023,20000,258730410,395084
26,Albemarle (CDC Contract),Stanly,5/3/2023,20000,20550970,19116
27,Albemarle (CDC Contract),Stanly,5/1/2023,20000,196244598,113317
28,Albemarle (CDC Contract),Stanly,4/26/2023,20000,156072107,225918
29,Albemarle (CDC Contract),Stanly,4/24/2023,20000,207871751,264076
30,Albemarle (CDC Contract),Stanly,4/19/2023,20000,320349742,376123
31,Albemarle (CDC Contract),Stanly,4/17/2023,20000,175034636,173832
32,Albemarle (CDC Contract),Stanly,4/12/2023,20000,143761597,83376
33,Albemarle (CDC Contract),Stanly,4/10/2023,20000,60583425,16117
34,Albemarle (CDC Contract),Stanly,4/5/2023,20000,136546931,158907
35,Albemarle (CDC Contract),Stanly,4/3/2023,20000,173939346,205593
36,Albemarle (CDC Contract),Stanly,3/29/2023,20000,188591155,106001
37,Albemarle (CDC Contract),Stanly,3/27/2023,20000,252446843,322952
38,Albemarle (CDC Contract),Stanly,3/22/2023,20000,560428971,771094
39,Albemarle (CDC Contract),Stanly,3/20/2023,20000,289550386,354948
40,Albemarle (CDC Contract),Stanly,3/15/2023,20000,224929120,245032
41,Albemarle (CDC Contract),Stanly,3/13/2023,20000,53450261,67902
42,Albemarle (CDC Contract),Stanly,3/8/2023,20000,109209498,139037
43,Albemarle (CDC Contract),Stanly,3/6/2023,20000,220796668,286626
44,Albemarle (CDC Contract),Stanly,3/1/2023,20000,606178701,786909
45,Albemarle (CDC Contract),Stanly,2/27/2023,20000,1122806546,1453995
46,Albemarle (CDC Contract),Stanly,2/22/2023,20000,940542304,928844
47,Albemarle (CDC Contract),Stanly,2/20/2023,20000,730427395,677049
48,Albemarle (CDC Contract),Stanly,2/15/2023,20000,600542329,308652
49,Albemarle (CDC Contract),Stanly,2/13/2023,20000,66228368,17237
50,Albemarle (CDC Contract),Stanly,2/8/2023,20000,1266517328,1227815
51,Albemarle (CDC Contract),Stanly,2/6/2023,20000,773536603,592311
52,Albemarle (CDC Contract),Stanly,2/1/2023,20000,1470593394,1214034
53,Albemarle (CDC Contract),Stanly,1/30/2023,20000,808825789,764472
54,Albemarle (CDC Contract),Stanly,1/25/2023,20000,691091024,520877
55,Albemarle (CDC Contract),Stanly,1/23/2023,20000,652112261,407741
56,Albemarle (CDC Contract),Stanly,1/18/2023,20000,1048894271,1099561
57,Albemarle (CDC Contract),Stanly,1/17/2023,20000,1111306370,1238722
58,Albemarle (CDC Contract),Stanly,1/11/2023,20000,1708824928,1941614
59,Albemarle (CDC Contract),Stanly,1/9/2023,20000,1458588661,1541278
60,Albemarle (CDC Contract),Stanly,1/4/2023,20000,1230495615,1547922
61,Albemarle (CDC Contract),Stanly,1/3/2023,20000,2256746341,3088970
62,Albemarle (CDC Contract),Stanly,12/21/2022,20000,239792736,347105
63,Albemarle (CDC Contract),Stanly,12/19/2022,20000,883492499,1149728
64,Albemarle (CDC Contract),Stanly,12/14/2022,20000,681212317,1228381
65,Albemarle (CDC Contract),Stanly,12/12/2022,20000,702447705,1117877
66,Albemarle (CDC Contract),Stanly,12/7/2022,20000,469537068,716988
67,Albemarle (CDC Contract),Stanly,12/5/2022,20000,735250233,1191615
68,Albemarle (CDC Contract),Stanly,11/30/2022,20000,730837768,1066671
69,Albemarle (CDC Contract),Stanly,11/28/2022,20000,534694013,448418
70,Albemarle (CDC Contract),Stanly,11/22/2022,20000,508159242,1048765
71,Albemarle (CDC Contract),Stanly,11/16/2022,20000,384597393,608384
72,Albemarle (CDC Contract),Stanly,11/14/2022,20000,476215331,1006425
73,Albemarle (CDC Contract),Stanly,11/9/2022,20000,384758645,819700
74,Albemarle (CDC Contract),Stanly,11/7/2022,20000,610292231,1203154
75,Albemarle (CDC Contract),Stanly,11/2/2022,20000,216651021,370442
76,Albemarle (CDC Contract),Stanly,10/31/2022,20000,298507246,769342
77,Albemarle (CDC Contract),Stanly,10/26/2022,20000,276643682,664380
78,Albemarle (CDC Contract),Stanly,10/24/2022,20000,207685127,540540
79,Albemarle (CDC Contract),Stanly,10/19/2022,20000,134169274,337561
80,Albemarle (CDC Contract),Stanly,10/17/2022,20000,105876376,294418
81,Albemarle (CDC Contract),Stanly,10/12/2022,20000,189069533,456137
82,Albemarle (CDC Contract),Stanly,10/10/2022,20000,180333383,462516
83,Albemarle (CDC Contract),Stanly,10/5/2022,20000,313063665,692075
84,Albemarle (CDC Contract),Stanly,10/3/2022,20000,473743733,872127
85,Albemarle (CDC Contract),Stanly,9/28/2022,20000,304288653,784242
86,Albemarle (CDC Contract),Stanly,9/26/2022,20000,319994337,832846
87,Albemarle (CDC Contract),Stanly,9/14/2022,20000,623650897,855853
88,Albemarle (CDC Contract),Stanly,9/12/2022,20000,821937359,991477
89,Albemarle (CDC Contract),Stanly,9/7/2022,20000,570525968,633267
90,Albemarle (CDC Contract),Stanly,8/31/2022,20000,839483616,1945340
91,Albemarle (CDC Contract),Stanly,8/29/2022,20000,510925926,1356510
92,Albemarle (CDC Contract),Stanly,8/24/2022,20000,337478179,710379
93,Albemarle (CDC Contract),Stanly,8/22/2022,20000,872657295,1309843
94,Albemarle (CDC Contract),Stanly,8/17/2022,20000,592861593,1344360
95,Albemarle (CDC Contract),Stanly,8/15/2022,20000,479978788,1274345
96,Albemarle (CDC Contract),Stanly,8/10/2022,20000,906204146,1779885
97,Albemarle (CDC Contract),Stanly,8/8/2022,20000,921698921,2046116
98,Albemarle (CDC Contract),Stanly,8/3/2022,20000,1219879145,2708059
99,Albemarle (CDC Contract),Stanly,8/1/2022,20000,1447498924,3226919
100,Albemarle (CDC Contract),Stanly,7/27/2022,20000,1100709250,1958098
101,Albemarle (CDC Contract),Stanly,7/25/2022,20000,763041427,1866434
102,Albemarle (CDC Contract),Stanly,7/18/2022,20000,776458933,1634417
103,Albemarle (CDC Contract),Stanly,7/13/2022,20000,1028586737,1631980
104,Albemarle (CDC Contract),Stanly,7/11/2022,20000,1385983850,1028481
105,Albemarle (CDC Contract),Stanly,7/6/2022,20000,1285125476,2829127
106,Albemarle (CDC Contract),Stanly,6/29/2022,20000,269263744,615863
107,Albemarle (CDC Contract),Stanly,6/27/2022,20000,707759993,1755596
108,Albemarle (CDC Contract),Stanly,6/22/2022,20000,1940317872,4858572
109,Albemarle (CDC Contract),Stanly,6/20/2022,20000,888227496,2358247
110,Cary 1,Wake,9/27/2023,84189,65977889,204655
111,Cary 1,Wake,9/23/2023,84189,25553265,76799
112,Cary 1,Wake,9/20/2023,84189,75328491,222489
113,Cary 1,Wake,9/15/2023,84189,53694366,173826
114,Cary 1,Wake,9/13/2023,84189,35502427,112960
115,Cary 1,Wake,9/8/2023,84189,41346661,136841
116,Cary 1,Wake,9/6/2023,84189,43666802,142819
117,Cary 1,Wake,9/1/2023,84189,43747378,142246
118,Cary 1,Wake,8/30/2023,84189,43029664,142199
119,Cary 1,Wake,8/25/2023,84189,26794792,88812
120,Cary 1,Wake,8/23/2023,84189,48341346,159990
121,Cary 1,Wake,8/18/2023,84189,58280834,188127
122,Cary 1,Wake,8/16/2023,84189,39756470,128518
123,Cary 1,Wake,8/11/2023,84189,24764432,80877
124,Cary 1,Wake,8/9/2023,84189,26520210,81580
125,Cary 1,Wake,8/4/2023,84189,34798383,103467
126,Cary 1,Wake,8/2/2023,84189,20950319,65626
127,Cary 1,Wake,7/28/2023,84189,39110181,118829
128,Cary 1,Wake,7/26/2023,84189,28809668,90372
129,Cary 1,Wake,7/21/2023,84189,25806239,74830
130,Cary 1,Wake,7/19/2023,84189,16732869,56386
131,Cary 1,Wake,7/14/2023,84189,26756678,90027
132,Cary 1,Wake,7/12/2023,84189,12184287,38712
133,Cary 1,Wake,7/7/2023,84189,12094088,38045
134,Cary 1,Wake,6/29/2023,84189,3606013,10852
135,Cary 1,Wake,6/27/2023,84189,9548782,32423
136,Cary 1,Wake,6/23/2023,84189,3734362,10292
137,Cary 1,Wake,6/21/2023,84189,3707152,10371
138,Cary 1,Wake,6/15/2023,84189,3150479,10649
139,Cary 1,Wake,6/13/2023,84189,3740178,12342
140,Cary 1,Wake,6/8/2023,84189,7775975,25358
141,Cary 1,Wake,6/6/2023,84189,3892020,11907
142,Cary 1,Wake,6/2/2023,84189,7622385,23351
143,Cary 1,Wake,5/31/2023,84189,3183933,10353
144,Cary 1,Wake,5/25/2023,84189,6419640,20752
145,Cary 1,Wake,5/23/2023,84189,4638864,14270
146,Cary 1,Wake,5/18/2023,84189,7376136,23236
147,Cary 1,Wake,5/16/2023,84189,3523157,10778
148,Cary 1,Wake,5/11/2023,84189,4535281,14597
149,Cary 1,Wake,5/9/2023,84189,5502407,17532
150,Cary 1,Wake,5/4/2023,84189,6544489,19776
151,Cary 1,Wake,5/2/2023,84189,4000413,10837
152,Cary 1,Wake,4/27/2023,84189,4405609,13998
153,Cary 1,Wake,4/25/2023,84189,6476052,20004
154,Cary 1,Wake,4/20/2023,84189,7894450,24251
155,Cary 1,Wake,4/18/2023,84189,11866022,34633
156,Cary 1,Wake,4/13/2023,84189,19381765,60798
157,Cary 1,Wake,4/11/2023,84189,14873021,39998
158,Cary 1,Wake,4/6/2023,84189,5583395,18701
159,Cary 1,Wake,4/4/2023,84189,4624452,15015
160,Cary 1,Wake,3/30/2023,84189,26842597,80893
161,Cary 1,Wake,3/28/2023,84189,22880229,68213
162,Cary 1,Wake,3/23/2023,84189,19692552,65174
163,Cary 1,Wake,3/21/2023,84189,7584139,24410
164,Cary 1,Wake,3/16/2023,84189,11872559,38158
165,Cary 1,Wake,3/14/2023,84189,10586194,32120
166,Cary 1,Wake,3/9/2023,84189,11343617,35938
167,Cary 1,Wake,3/7/2023,84189,11846462,38074
168,Cary 1,Wake,3/2/2023,84189,8004488,25913
169,Cary 1,Wake,2/28/2023,84189,13874666,45446
170,Cary 1,Wake,2/23/2023,84189,7961018,25512
171,Cary 1,Wake,2/21/2023,84189,6677068,20740
172,Cary 1,Wake,2/16/2023,84189,10761029,34337
173,Cary 1,Wake,2/14/2023,84189,14186096,39537
174,Cary 1,Wake,2/9/2023,84189,21795037,71494
175,Cary 1,Wake,2/7/2023,84189,37927819,120161
176,Cary 1,Wake,2/2/2023,84189,40793244,116915
177,Cary 1,Wake,1/31/2023,84189,39170513,117726
178,Cary 1,Wake,1/26/2023,84189,20532570,59460
179,Cary 1,Wake,1/24/2023,84189,20436574,61009
180,Cary 1,Wake,1/19/2023,84189,34110101,110265
181,Cary 1,Wake,1/17/2023,84189,18986718,59559
182,Cary 1,Wake,1/12/2023,84189,16827495,56110
183,Cary 1,Wake,1/10/2023,84189,14837394,49033
184,Cary 1,Wake,1/5/2023,84189,34351208,103102
185,Cary 1,Wake,1/3/2023,84189,98668697,315746
186,Cary 1,Wake,12/30/2022,84189,55553742,186920
187,Cary 1,Wake,12/28/2022,84189,31315474,102272
188,Cary 1,Wake,12/22/2022,84189,34145350,113176
189,Cary 1,Wake,12/20/2022,84189,20173777,61127
190,Cary 1,Wake,12/15/2022,84189,18840032,59519
191,Cary 1,Wake,12/13/2022,84189,27654580,92211
192,Cary 1,Wake,12/8/2022,84189,19924425,64502
193,Cary 1,Wake,12/6/2022,84189,15840188,53216
194,Cary 1,Wake,12/1/2022,84189,36377181,103857
195,Cary 1,Wake,11/29/2022,84189,15595070,48920
196,Cary 1,Wake,11/24/2022,84189,10303621,35694
197,Cary 1,Wake,11/22/2022,84189,8159418,27790
198,Cary 1,Wake,11/17/2022,84189,5891924,20160
199,Cary 1,Wake,11/15/2022,84189,7326210,24763
200,Cary 1,Wake,11/10/2022,84189,8392986,29442
201,Cary 1,Wake,11/8/2022,84189,10070795,34672
202,Cary 1,Wake,11/3/2022,84189,6999309,24247
203,Cary 1,Wake,11/1/2022,84189,7679613,25723
204,Cary 1,Wake,10/27/2022,84189,9870653,34846
205,Cary 1,Wake,10/25/2022,84189,8073168,27581
206,Cary 1,Wake,10/20/2022,84189,5964333,20989
207,Cary 1,Wake,10/18/2022,84189,4431162,15544
208,Cary 1,Wake,10/13/2022,84189,7175626,24897
209,Cary 1,Wake,10/11/2022,84189,34608125,115919
210,Cary 1,Wake,10/6/2022,84189,33404166,116996
211,Cary 1,Wake,10/4/2022,84189,8296507,25276
212,Cary 1,Wake,9/29/2022,84189,11748089,38424
213,Cary 1,Wake,9/27/2022,84189,328234197,1124819
214,Cary 1,Wake,9/22/2022,84189,11589403,39172
215,Cary 1,Wake,9/20/2022,84189,10893676,37563
216,Cary 1,Wake,9/15/2022,84189,12815888,43784
217,Cary 1,Wake,9/13/2022,84189,17990762,58842
218,Cary 1,Wake,9/9/2022,84189,12639473,41461
219,Cary 1,Wake,9/7/2022,84189,10233232,34071
220,Cary 1,Wake,9/1/2022,84189,15493205,52367
221,Cary 1,Wake,8/30/2022,84189,14717351,49896
222,Cary 1,Wake,8/25/2022,84189,17697682,61214
223,Cary 1,Wake,8/23/2022,84189,11377560,37543
224,Cary 1,Wake,8/18/2022,84189,18905635,61743
225,Cary 1,Wake,8/16/2022,84189,17272271,57506
226,Cary 1,Wake,8/11/2022,84189,21339741,71693
227,Cary 1,Wake,8/9/2022,84189,28472657,94093
228,Cary 1,Wake,8/4/2022,84189,25190876,83496
229,Cary 1,Wake,8/2/2022,84189,23603599,75642
230,Cary 1,Wake,7/28/2022,84189,48201624,132186
231,Cary 1,Wake,7/26/2022,84189,14207388,46742
232,Cary 1,Wake,7/21/2022,84189,47709184,141288
233,Cary 1,Wake,7/19/2022,84189,25088744,82787
234,Cary 1,Wake,7/14/2022,84189,24504515,82700
235,Cary 1,Wake,7/12/2022,84189,31785470,96706
236,Cary 1,Wake,7/8/2022,84189,22088282,72243
237,Cary 1,Wake,7/6/2022,84189,25399358,86907
238,Cary 1,Wake,6/30/2022,84189,24985223,82080
239,Cary 1,Wake,6/28/2022,84189,25181259,83464
240,Cary 1,Wake,6/23/2022,84189,28119308,94899
241,Cary 1,Wake,6/21/2022,84189,13045707,43048
242,Cary 1,Wake,6/16/2022,84189,24697709,81861
243,Cary 1,Wake,6/14/2022,84189,36465529,118916
244,Cary 1,Wake,6/9/2022,84189,33377529,105745
245,Cary 1,Wake,6/7/2022,84189,25466083,84157
246,Cary 1,Wake,6/2/2022,84189,37406389,120745
247,Cary 1,Wake,5/31/2022,84189,30896095,95437
248,Cary 1,Wake,5/26/2022,84189,11218272,35491
249,Cary 1,Wake,5/24/2022,84189,27231850,72707
250,Cary 1,Wake,5/19/2022,84189,41893904,138858
251,Cary 1,Wake,5/17/2022,84189,24733220,71906
252,Cary 1,Wake,5/12/2022,84189,21603252,71604
253,Cary 1,Wake,5/10/2022,84189,10817213,35276
254,Cary 1,Wake,5/5/2022,84189,13387050,44571
255,Cary 1,Wake,5/3/2022,84189,43249042,123476
256,Cary 1,Wake,4/28/2022,84189,18294371,57795
257,Cary 1,Wake,4/26/2022,84189,11787572,35237
258,Cary 1,Wake,4/21/2022,84189,15414867,46581
259,Cary 1,Wake,4/19/2022,84189,4928211,13033
260,Cary 1,Wake,4/14/2022,84189,2263004,7423
261,Cary 1,Wake,4/12/2022,84189,1412676,4620
262,Cary 1,Wake,4/7/2022,84189,2272299,6980
263,Cary 1,Wake,4/5/2022,84189,1654954,5273
264,Cary 1,Wake,3/31/2022,84189,3685025,11809
265,Cary 1,Wake,3/29/2022,84189,1393582,4466
266,Cary 1,Wake,3/24/2022,84189,3470924,10796
267,Cary 1,Wake,3/22/2022,84189,1126752,3136
268,Cary 1,Wake,3/17/2022,84189,1466230,3972
269,Cary 1,Wake,3/15/2022,84189,2456775,7404
270,Cary 1,Wake,3/10/2022,84189,3871725,11451
271,Cary 1,Wake,3/8/2022,84189,3243508,10232
272,Cary 1,Wake,3/3/2022,84189,1140269,3842
273,Cary 1,Wake,3/1/2022,84189,972583,3144
274,Cary 1,Wake,2/24/2022,84189,2319525,7509
275,Cary 1,Wake,2/22/2022,84189,1690721,5379
276,Cary 1,Wake,2/17/2022,84189,5978804,20301
277,Cary 1,Wake,2/15/2022,84189,2931973,12374
278,Cary 1,Wake,2/10/2022,84189,7077476,22583
279,Cary 1,Wake,2/8/2022,84189,7401748,28198
280,Cary 1,Wake,2/3/2022,84189,9298417,31098
281,Cary 1,Wake,2/1/2022,84189,7471092,24987
282,Cary 1,Wake,1/27/2022,84189,16663357,52867
283,Cary 1,Wake,1/25/2022,84189,31122579,96944
284,Cary 1,Wake,1/21/2022,84189,22147659,65328
285,Cary 1,Wake,1/19/2022,84189,23625971,71685
286,Cary 1,Wake,1/13/2022,84189,59063627,191795
287,Cary 1,Wake,1/11/2022,84189,42914133,132855
288,Cary 1,Wake,1/6/2022,84189,78498993,230324
289,Cary 1,Wake,1/4/2022,84189,123482459,231560
290,Cary 1,Wake,12/30/2021,84189,30391337,104469
291,Cary 1,Wake,12/29/2021,84189,29539844,98943
292,Cary 1,Wake,12/21/2021,84189,7644989,24785
293,Cary 1,Wake,12/16/2021,84189,5444612,18572
294,Cary 1,Wake,12/14/2021,84189,5088755,16842
295,Cary 1,Wake,12/9/2021,84189,3166686,9428
296,Cary 1,Wake,12/7/2021,84189,5707407,18917
297,Cary 1,Wake,12/2/2021,84189,2471590,8444
298,Cary 1,Wake,11/30/2021,84189,6276183,20896
299,Cary 1,Wake,11/23/2021,84189,2483500,10030
300,Cary 1,Wake,11/18/2021,84189,1078436,4642
301,Cary 1,Wake,11/16/2021,84189,1216465,4062
302,Cary 2,Wake,9/27/2023,74331,29211634,107760
303,Cary 2,Wake,9/22/2023,74331,29253390,117039
304,Cary 2,Wake,9/20/2023,74331,17286683,65848
305,Cary 2,Wake,9/15/2023,74331,43292825,167212
306,Cary 2,Wake,9/13/2023,74331,24276395,94134
307,Cary 2,Wake,9/8/2023,74331,43579531,188240
308,Cary 2,Wake,9/6/2023,74331,28666875,118233
309,Cary 2,Wake,9/1/2023,74331,30266273,114711
310,Cary 2,Wake,8/30/2023,74331,21626709,81323
311,Cary 2,Wake,8/25/2023,74331,12176910,44002
312,Cary 2,Wake,8/23/2023,74331,19226001,79013
313,Cary 2,Wake,8/18/2023,74331,18774574,74267
314,Cary 2,Wake,8/16/2023,74331,24312503,95272
315,Cary 2,Wake,8/11/2023,74331,23339172,94944
316,Cary 2,Wake,8/9/2023,74331,18781171,73187
317,Cary 2,Wake,8/4/2023,74331,27770863,110814
318,Cary 2,Wake,8/2/2023,74331,16450841,63992
319,Cary 2,Wake,7/28/2023,74331,19348036,78367
320,Cary 2,Wake,7/26/2023,74331,11749422,45895
321,Cary 2,Wake,7/21/2023,74331,30084163,118385
322,Cary 2,Wake,7/19/2023,74331,13014018,50673
323,Cary 2,Wake,7/14/2023,74331,11900421,47467
324,Cary 2,Wake,7/12/2023,74331,8330533,30576
325,Cary 2,Wake,7/7/2023,74331,12216116,47870
326,Cary 2,Wake,6/29/2023,74331,4893553,19291
327,Cary 2,Wake,6/27/2023,74331,3343874,12678
328,Cary 2,Wake,6/23/2023,74331,8732079,26998
329,Cary 2,Wake,6/21/2023,74331,5706835,17005
330,Cary 2,Wake,6/15/2023,74331,3541587,14543
331,Cary 2,Wake,6/13/2023,74331,3898195,15374
332,Cary 2,Wake,6/8/2023,74331,5673302,21527
333,Cary 2,Wake,6/6/2023,74331,2599001,10132
334,Cary 2,Wake,6/2/2023,74331,10423207,39037
335,Cary 2,Wake,5/31/2023,74331,4415942,16211
336,Cary 2,Wake,5/25/2023,74331,4154403,16024
337,Cary 2,Wake,5/23/2023,74331,2087959,7953
338,Cary 2,Wake,5/18/2023,74331,8369488,29269
339,Cary 2,Wake,5/16/2023,74331,2618380,9993
340,Cary 2,Wake,5/11/2023,74331,6139518,23260
341,Cary 2,Wake,5/9/2023,74331,3896555,14353
342,Cary 2,Wake,5/4/2023,74331,4187921,13552
343,Cary 2,Wake,5/2/2023,74331,10210249,26004
344,Cary 2,Wake,4/27/2023,74331,2167068,7611
345,Cary 2,Wake,4/25/2023,74331,8967092,31044
346,Cary 2,Wake,4/20/2023,74331,5438659,19347
347,Cary 2,Wake,4/18/2023,74331,5436940,17585
348,Cary 2,Wake,4/13/2023,74331,6092170,20625
349,Cary 2,Wake,4/11/2023,74331,3862821,10836
350,Cary 2,Wake,4/6/2023,74331,4518496,17299
351,Cary 2,Wake,4/4/2023,74331,7786779,28575
352,Cary 2,Wake,3/30/2023,74331,79577428,244577
353,Cary 2,Wake,3/28/2023,74331,10919954,35250
354,Cary 2,Wake,3/23/2023,74331,7696169,27318
355,Cary 2,Wake,3/21/2023,74331,4723814,16844
356,Cary 2,Wake,3/16/2023,74331,5678574,19792
357,Cary 2,Wake,3/14/2023,74331,8228561,26406
358,Cary 2,Wake,3/9/2023,74331,11447989,40761
359,Cary 2,Wake,3/7/2023,74331,16998282,59743
360,Cary 2,Wake,3/2/2023,74331,12961951,46429
361,Cary 2,Wake,2/28/2023,74331,12794606,45260
362,Cary 2,Wake,2/23/2023,74331,18564385,66339
363,Cary 2,Wake,2/21/2023,74331,9077509,31426
364,Cary 2,Wake,2/16/2023,74331,10905880,36846
365,Cary 2,Wake,2/14/2023,74331,18989049,53651
366,Cary 2,Wake,2/9/2023,74331,23893557,83812
367,Cary 2,Wake,2/7/2023,74331,41761378,142739
368,Cary 2,Wake,2/2/2023,74331,20760649,64708
369,Cary 2,Wake,1/31/2023,74331,36289440,115661
370,Cary 2,Wake,1/26/2023,74331,33123690,105043
371,Cary 2,Wake,1/24/2023,74331,22870733,68220
372,Cary 2,Wake,1/19/2023,74331,33328881,121262
373,Cary 2,Wake,1/17/2023,74331,21951827,78875
374,Cary 2,Wake,1/12/2023,74331,30595717,112003
375,Cary 2,Wake,1/10/2023,74331,18281451,64821
376,Cary 2,Wake,1/5/2023,74331,38987926,130266
377,Cary 2,Wake,1/3/2023,74331,167110000,574075
378,Cary 2,Wake,12/29/2022,74331,47960781,171231
379,Cary 2,Wake,12/27/2022,74331,52132051,179592
380,Cary 2,Wake,12/22/2022,74331,63459205,226399
381,Cary 2,Wake,12/20/2022,74331,25250949,90299
382,Cary 2,Wake,12/15/2022,74331,37205729,134372
383,Cary 2,Wake,12/13/2022,74331,19508497,71629
384,Cary 2,Wake,12/8/2022,74331,24497568,87240
385,Cary 2,Wake,12/6/2022,74331,12273326,44688
386,Cary 2,Wake,12/1/2022,74331,27859683,88235
387,Cary 2,Wake,11/29/2022,74331,13287225,45638
388,Cary 2,Wake,11/24/2022,74331,17475575,69789
389,Cary 2,Wake,11/22/2022,74331,28623776,109971
390,Cary 2,Wake,11/17/2022,74331,5491939,20347
391,Cary 2,Wake,11/15/2022,74331,6810850,26405
392,Cary 2,Wake,11/10/2022,74331,17489253,68384
393,Cary 2,Wake,11/8/2022,74331,4838830,18935
394,Cary 2,Wake,11/3/2022,74331,7138649,25487
395,Cary 2,Wake,11/1/2022,74331,9656857,35846
396,Cary 2,Wake,10/27/2022,74331,13531558,49205
397,Cary 2,Wake,10/25/2022,74331,7283058,27678
398,Cary 2,Wake,10/20/2022,74331,6305069,23645
399,Cary 2,Wake,10/18/2022,74331,4377911,16399
400,Cary 2,Wake,10/13/2022,74331,6557815,24735
401,Cary 2,Wake,10/11/2022,74331,44595476,151555
402,Cary 2,Wake,10/6/2022,74331,32243737,123879
403,Cary 2,Wake,10/4/2022,74331,5272537,19830
404,Cary 2,Wake,9/29/2022,74331,9973219,39967
405,Cary 2,Wake,9/27/2022,74331,18563387,77556
406,Cary 2,Wake,9/22/2022,74331,22184401,89431
407,Cary 2,Wake,9/20/2022,74331,8313363,33520
408,Cary 2,Wake,9/15/2022,74331,32667880,116230
409,Cary 2,Wake,9/13/2022,74331,18331503,69250
410,Cary 2,Wake,9/9/2022,74331,18041288,72299
411,Cary 2,Wake,9/7/2022,74331,9002195,36342
412,Cary 2,Wake,9/1/2022,74331,15880702,64939
413,Cary 2,Wake,8/30/2022,74331,11456988,45931
414,Cary 2,Wake,8/25/2022,74331,21112520,82749
415,Cary 2,Wake,8/23/2022,74331,20684692,75651
416,Cary 2,Wake,8/18/2022,74331,17946096,71741
417,Cary 2,Wake,8/16/2022,74331,18853718,72083
418,Cary 2,Wake,8/11/2022,74331,25390977,101441
419,Cary 2,Wake,8/9/2022,74331,21050305,87778
420,Cary 2,Wake,8/4/2022,74331,23053971,96318
421,Cary 2,Wake,8/2/2022,74331,23222582,88510
422,Cary 2,Wake,7/28/2022,74331,27463625,117799
423,Cary 2,Wake,7/26/2022,74331,25023831,98491
424,Cary 2,Wake,7/21/2022,74331,21817874,104954
425,Cary 2,Wake,7/19/2022,74331,41219515,173059
426,Cary 2,Wake,7/14/2022,74331,17977983,71418
427,Cary 2,Wake,7/12/2022,74331,28602000,113028
428,Cary 2,Wake,7/8/2022,74331,34589344,147878
429,Cary 2,Wake,7/6/2022,74331,26914512,116667
430,Cary 2,Wake,6/30/2022,74331,23517021,89947
431,Cary 2,Wake,6/28/2022,74331,19850715,78698
432,Cary 2,Wake,6/23/2022,74331,23458413,96026
433,Cary 2,Wake,6/21/2022,74331,18726210,75135
434,Cary 2,Wake,6/16/2022,74331,20067855,79287
435,Cary 2,Wake,6/14/2022,74331,28574741,114510
436,Cary 2,Wake,6/9/2022,74331,30246081,110250
437,Cary 2,Wake,6/7/2022,74331,22822644,89166
438,Cary 2,Wake,6/2/2022,74331,23492960,89315
439,Cary 2,Wake,5/31/2022,74331,23899594,91126
440,Cary 2,Wake,5/26/2022,74331,22997184,77885
441,Cary 2,Wake,5/24/2022,74331,26773937,88583
442,Cary 2,Wake,5/19/2022,74331,59258008,224504
443,Cary 2,Wake,5/17/2022,74331,16601757,58475
444,Cary 2,Wake,5/12/2022,74331,17645394,66530
445,Cary 2,Wake,5/10/2022,74331,13541239,49803
446,Cary 2,Wake,5/5/2022,74331,18221366,68967
447,Cary 2,Wake,5/3/2022,74331,18399520,69095
448,Cary 2,Wake,4/28/2022,74331,28597802,105081
449,Cary 2,Wake,4/26/2022,74331,13352857,50510
