Date,COVID-19 Hospitalizations,Adult ICU COVID-19 Patients,Hospitalized and Ventilated COVID-19 Inpatient Count,COVID-19 Confirmed Patients Admitted - Last 24 Hours,Influenza Confirmed Patients Admitted - Last 24 Hours
4/2/2023,385,48,19,50,0
4/1/2023,374,48,27,45,1
3/31/2023,370,48,26,38,2
3/30/2023,401,52,26,58,3
3/29/2023,413,55,23,39,3
3/28/2023,431,51,24,65,1
3/27/2023,436,55,21,51,2
3/26/2023,414,55,19,42,2
3/25/2023,405,56,18,69,4
3/24/2023,424,55,23,62,3
3/23/2023,418,51,23,63,2
3/22/2023,416,59,18,53,4
3/21/2023,445,61,24,48,3
3/20/2023,462,57,23,62,2
3/19/2023,465,55,21,41,4
3/18/2023,459,59,26,43,3
3/17/2023,481,62,27,55,2
3/16/2023,507,66,33,63,7
3/15/2023,525,70,34,50,5
3/14/2023,555,78,34,67,4
3/13/2023,567,76,41,55,6
3/12/2023,570,74,37,63,6
3/11/2023,562,79,32,79,6
3/10/2023,579,75,30,83,4
3/9/2023,596,79,34,79,2
3/8/2023,612,84,42,76,1
3/7/2023,636,92,38,66,4
3/6/2023,647,89,35,72,4
3/5/2023,640,80,32,65,3
3/4/2023,633,70,33,66,5
3/3/2023,626,75,39,85,2
3/2/2023,664,92,33,80,7
3/1/2023,699,84,31,94,4
2/28/2023,719,96,33,109,8
2/27/2023,741,98,36,93,4
2/26/2023,733,102,38,90,3
2/25/2023,714,101,37,88,4
2/24/2023,744,93,36,102,8
2/23/2023,782,93,38,125,4
2/22/2023,780,97,40,110,5
2/21/2023,793,96,32,106,3
2/20/2023,815,93,29,85,6
2/19/2023,825,94,35,93,2
2/18/2023,836,97,37,128,7
2/17/2023,867,102,23,121,6
2/16/2023,856,104,38,113,13
2/15/2023,845,112,40,130,8
2/14/2023,827,100,44,105,5
2/13/2023,843,100,39,89,5
2/12/2023,839,101,42,82,5
2/11/2023,846,101,48,121,8
2/10/2023,870,113,52,122,8
2/9/2023,875,121,55,122,15
2/8/2023,905,114,57,133,8
2/7/2023,911,117,54,115,4
2/6/2023,912,121,55,120,9
2/5/2023,894,112,45,95,5
2/4/2023,882,119,53,114,7
2/3/2023,935,124,60,117,7
2/2/2023,965,137,68,126,8
2/1/2023,980,122,67,136,4
1/31/2023,1017,138,66,112,7
1/30/2023,1024,149,74,111,2
1/29/2023,1034,148,66,119,2
1/28/2023,1021,139,62,133,7
1/27/2023,1042,142,57,159,3
1/26/2023,1076,149,52,157,7
1/25/2023,1068,143,55,161,7
1/24/2023,1133,140,53,126,4
1/23/2023,1138,145,56,127,5
1/22/2023,1151,160,55,141,8
1/21/2023,1159,164,60,163,4
1/20/2023,1211,167,60,172,8
1/19/2023,1247,165,65,152,12
1/18/2023,1326,174,67,189,13
1/17/2023,1318,167,68,161,8
1/16/2023,1341,172,67,145,12
1/15/2023,1328,170,75,132,12
1/14/2023,1369,185,75,182,16
1/13/2023,1449,186,72,207,17
1/12/2023,1453,179,72,197,15
1/11/2023,1476,197,77,212,19
1/10/2023,1518,192,69,200,22
1/9/2023,1578,199,66,186,15
1/8/2023,1581,195,61,179,19
1/7/2023,1587,199,63,215,15
1/6/2023,1611,204,70,250,28
1/5/2023,1697,214,65,249,27
1/4/2023,1676,219,59,239,43
1/3/2023,1644,210,72,233,30
1/2/2023,1601,188,61,235,37
1/1/2023,1525,174,61,241,46
12/31/2022,1475,168,68,270,46
12/30/2022,1419,165,60,246,34
12/29/2022,1379,169,63,244,47
12/28/2022,1329,154,59,240,57
12/27/2022,1239,130,55,202,50
12/26/2022,1169,125,53,199,35
12/25/2022,1080,126,48,179,38
12/24/2022,1004,120,53,174,47
12/23/2022,1007,125,56,170,45
